#Coeficients for multipole expansion A_lm
#Calculated using Holo_Multipol
#Using 50 coefficients
#l    m    A_lm
40 30 (-4.10884e-05,0.000258381)
40 31 (2.96803e-05,7.7545e-05)
40 32 (-2.40781e-05,4.40589e-05)
40 33 (-0.000130577,-6.5892e-05)
40 34 (8.78948e-06,1.22704e-05)
40 35 (1.89904e-05,1.23021e-05)
40 36 (3.88456e-05,-9.10429e-05)
40 37 (9.53445e-06,-3.83857e-05)
40 38 (1.32249e-05,4.1081e-06)
40 39 (-3.55796e-05,-5.86693e-05)
40 40 (-4.83428e-06,-1.08131e-06)
42 0 (-0.0119653,0)
42 1 (-0.000559133,-0.000896046)
42 2 (2.40161e-05,-8.03821e-06)
42 3 (-3.71602e-05,0.000167687)
42 4 (9.31688e-07,-3.73506e-05)
42 5 (0.000201942,-4.42157e-06)
42 6 (0.000354049,4.15545e-05)
42 7 (5.27839e-06,-0.000120584)
42 8 (-0.000236871,-0.000152087)
42 9 (0.000278816,-0.000648882)
42 10 (-0.000280392,9.88702e-05)
42 11 (-0.000383903,0.000275738)
42 12 (-0.000970085,-0.000853628)
42 13 (-0.00016115,0.000409587)
42 14 (0.000345376,0.000220285)
42 15 (-0.00032518,0.000613861)
42 16 (0.000193858,-2.38453e-05)
42 17 (0.000167358,-7.34834e-05)
42 18 (0.000110481,0.000310988)
42 19 (2.94714e-05,-1.3475e-06)
42 20 (3.03509e-05,4.3322e-06)
42 21 (0.0001096,8.5236e-05)
42 22 (-6.04585e-05,-2.33682e-05)
42 23 (2.10608e-05,-3.04154e-06)
42 24 (0.000131177,-7.12408e-05)
42 25 (-4.31569e-05,-5.0964e-06)
42 26 (5.83784e-05,4.24186e-06)
42 27 (-8.64487e-05,5.30141e-05)
42 28 (-4.29415e-05,4.88391e-06)
42 29 (-2.74388e-05,-9.85886e-06)
42 30 (-9.50584e-05,-0.000100151)
42 31 (-8.64648e-05,7.22368e-05)
42 32 (-3.01523e-05,8.73578e-05)
42 33 (-0.00011425,-7.58591e-05)
42 34 (-2.2005e-05,1.91867e-06)
42 35 (1.4235e-05,3.69045e-05)
42 36 (-9.92176e-06,-5.92395e-06)
42 37 (7.99591e-05,-9.7689e-06)
42 38 (-6.42295e-06,2.46674e-05)
42 39 (1.89271e-05,-3.56845e-05)
42 40 (-1.11487e-05,1.05697e-05)
42 41 (-2.49469e-05,-1.17594e-05)
42 42 (4.95678e-06,-6.49811e-06)
44 0 (0.00784575,0)
44 1 (0.000297705,0.000285558)
44 2 (6.9649e-05,8.90217e-05)
44 3 (0.000128824,0.000234887)
44 4 (5.07722e-05,-5.1433e-05)
44 5 (3.81447e-05,-0.000376536)
44 6 (0.000272595,5.01634e-06)
44 7 (-1.37625e-05,-0.000123777)
44 8 (9.75262e-05,8.51847e-05)
44 9 (0.000115076,0.000244191)
44 10 (-9.15599e-06,5.80028e-05)
44 11 (-0.000203591,9.06089e-05)
44 12 (-0.000285126,-0.000253605)
44 13 (-0.000141148,0.000196177)
44 14 (6.16943e-06,-0.000125887)
44 15 (9.46864e-05,5.9889e-07)
44 16 (-3.96905e-05,-1.67072e-05)
44 17 (-0.000159965,0.000115384)
44 18 (-0.000180082,-0.000114124)
44 19 (-0.000137027,0.000105603)
44 20 (-0.000106341,-0.000151673)
44 21 (0.000288952,-0.000108971)
44 22 (-8.81916e-05,-5.87378e-05)
44 23 (-4.5788e-05,-1.47983e-06)
44 24 (0.000140782,-0.000120953)
44 25 (-4.32636e-05,-2.2126e-05)
44 26 (-2.91381e-05,-5.2082e-05)
44 27 (0.000187393,-7.25187e-05)
44 28 (-5.02149e-05,-6.81086e-06)
44 29 (-4.81632e-05,-3.50738e-05)
44 30 (2.18103e-05,-0.000109008)
44 31 (-0.000103897,1.16608e-05)
44 32 (-5.65793e-05,8.84645e-06)
44 33 (0.000126853,-4.43535e-05)
44 34 (-3.28135e-05,-6.76212e-05)
44 35 (7.9488e-06,3.39981e-05)
44 36 (7.49012e-05,2.12108e-06)
44 37 (2.34816e-05,7.49962e-06)
44 38 (-3.11555e-05,-3.76173e-05)
44 39 (1.01363e-05,2.14633e-05)
44 40 (9.66351e-06,2.67491e-05)
44 41 (1.63996e-05,-2.46424e-05)
44 42 (9.52213e-06,1.5943e-06)
44 43 (-9.66602e-06,6.28655e-06)
44 44 (-2.27599e-05,-1.93323e-05)
46 0 (-0.00866104,0)
46 1 (-0.000749768,-0.000671609)
46 2 (0.000105376,4.2002e-05)
46 3 (-0.000132139,-0.000211609)
46 4 (-1.88458e-05,3.07961e-05)
46 5 (-3.22717e-06,2.31736e-05)
46 6 (0.000167543,-0.000157786)
46 7 (4.75279e-05,-1.3317e-05)
46 8 (0.000135599,0.000150098)
46 9 (-1.70308e-05,0.000417963)
46 10 (0.000109834,-3.58003e-05)
46 11 (9.79046e-05,-0.000139609)
46 12 (0.000355562,0.000242767)
46 13 (-1.99448e-05,-0.000188146)
46 14 (-1.79498e-05,-4.4081e-05)
46 15 (-0.000129808,0.000133904)
46 16 (6.78778e-05,1.84258e-05)
46 17 (-1.85605e-05,6.81786e-05)
46 18 (-0.000116045,-5.78848e-05)
46 19 (5.53641e-05,1.52655e-05)
46 20 (-2.77049e-05,7.684e-05)
46 21 (-0.000187829,0.000209936)
46 22 (5.61014e-05,4.84799e-05)
46 23 (3.42062e-05,-6.27347e-05)
46 24 (6.77051e-05,9.64666e-05)
46 25 (3.5779e-05,-3.45756e-05)
46 26 (3.48344e-05,-5.46258e-05)
46 27 (-3.08741e-05,8.8948e-05)
46 28 (5.45089e-05,4.25039e-05)
46 29 (6.28169e-05,1.14375e-05)
46 30 (4.41772e-05,4.91709e-05)
46 31 (5.43126e-06,4.53156e-06)
46 32 (-5.93672e-05,-3.52656e-06)
46 33 (2.96208e-05,3.96603e-05)
46 34 (-2.66413e-05,-2.55769e-05)
46 35 (4.41619e-05,4.1831e-05)
46 36 (1.86366e-05,5.4756e-05)
46 37 (1.06232e-05,-2.83789e-05)
46 38 (-1.02567e-05,3.56208e-05)
46 39 (-5.31078e-05,1.1145e-05)
46 40 (-2.53887e-05,9.63385e-05)
46 41 (-8.86359e-07,2.66611e-06)
46 42 (1.49701e-05,-1.38005e-05)
46 43 (-3.51103e-07,-1.96515e-06)
46 44 (-4.54042e-05,-3.17429e-05)
46 45 (2.51168e-05,-1.43269e-05)
46 46 (-1.73946e-05,3.22896e-05)
48 0 (0.00309638,0)
48 1 (0.000546812,0.000332091)
48 2 (-1.74529e-05,-4.9556e-06)
48 3 (9.75327e-05,0.000248891)
48 4 (-2.36451e-05,-5.16148e-05)
48 5 (-1.58383e-05,0.000104788)
48 6 (-0.000330892,-6.29455e-05)
48 7 (-3.47742e-05,0.000132223)
48 8 (-8.95034e-05,-0.000160488)
48 9 (7.77136e-05,-0.000292133)
48 10 (-9.76513e-05,-0.000180979)
48 11 (0.000260272,-0.00017974)
48 12 (0.00061907,0.00038066)
48 13 (0.000128092,-0.00021457)
48 14 (3.33223e-05,0.00016058)
48 15 (-0.000160075,0.000177462)
48 16 (3.88982e-05,0.000127513)
48 17 (-0.000110736,1.84054e-05)
48 18 (-4.08195e-06,-0.000114553)
48 19 (-2.41054e-05,5.02422e-05)
48 20 (6.63818e-05,0.000154742)
48 21 (-0.000184593,0.000170134)
48 22 (-1.30375e-05,5.29831e-05)
48 23 (-0.000107701,1.3017e-05)
48 24 (-3.49895e-05,-0.000148124)
48 25 (-3.21241e-05,1.13386e-05)
48 26 (3.30707e-05,5.76151e-05)
48 27 (-9.60898e-05,5.37319e-05)
48 28 (-1.65372e-05,3.98613e-05)
48 29 (6.29706e-05,5.56973e-05)
48 30 (-8.47967e-05,6.63601e-05)
48 31 (9.1827e-05,7.9872e-05)
48 32 (-1.62558e-05,2.77695e-05)
48 33 (-9.05436e-05,4.30425e-05)
48 34 (-3.7398e-05,3.13297e-05)
48 35 (-5.9047e-06,2.78614e-05)
48 36 (2.4042e-05,-8.61273e-06)
48 37 (2.16956e-05,5.98849e-06)
48 38 (-3.85944e-06,-5.56571e-05)
48 39 (7.05823e-05,2.89425e-05)
48 40 (-0.000128037,0.000150699)
48 41 (-3.26449e-05,-6.53107e-06)
48 42 (6.04092e-05,-3.69111e-05)
48 43 (2.26105e-05,-4.40066e-06)
48 44 (-2.53558e-05,-3.79929e-05)
48 45 (1.50705e-05,1.43138e-05)
48 46 (-2.24815e-05,1.79467e-05)
48 47 (-9.2745e-06,-7.79678e-06)
48 48 (-2.17693e-05,-9.3807e-06)
50 0 (-0.00363598,0)
50 1 (-0.00067311,-0.000607631)
50 2 (0.000147404,-0.000141926)
50 3 (-4.76758e-05,-0.000308929)
