#Expanded function
#Calculated using Holo_Multipol
#Intensity    Theta angle    Phi angle
0.290237 1375.1 2825.55
0.311139 1375.1 3108.1
0.317433 1375.1 3390.65
0.307808 1375.1 3673.21
0.279804 1375.1 3955.76
0.30044 1375.1 4238.32
0.298753 1375.1 4520.87
0.328829 1375.1 4803.43
0.314261 1375.1 5085.98
0.28884 1375.1 5368.54
0.307132 1375.1 5651.09
0.327238 1375.1 5933.65
0.29812 1375.1 6216.2
0.307068 1375.1 6498.75
0.275083 1375.1 6781.31
0.301508 1375.1 7063.86
0.311052 1375.1 7346.42
0.327738 1375.1 7628.97
0.295289 1375.1 7911.53
0.286843 1375.1 8194.08
0.293763 1375.1 8476.64
0.317547 1375.1 8759.19
0.324431 1375.1 9041.74
0.278916 1375.1 9324.3
0.295124 1375.1 9606.85
0.33168 1375.1 9889.41
0.313049 1375.1 10172
0.314591 1375.1 10454.5
0.269716 1375.1 10737.1
0.279421 1375.1 11019.6
0.325073 1375.1 11302.2
0.3236 1375.1 11584.7
0.300477 1375.1 11867.3
0.272509 1375.1 12149.8
0.313932 1375.1 12432.4
0.312964 1375.1 12715
0.319855 1375.1 12997.5
0.260803 1375.1 13280.1
0.284935 1375.1 13562.6
0.340098 1375.1 13845.2
0.322923 1375.1 14127.7
0.307238 1375.1 14410.3
0.274673 1375.1 14692.8
0.282633 1375.1 14975.4
0.340842 1375.1 15257.9
0.307836 1375.1 15540.5
0.280104 1375.1 15823.1
0.273457 1375.1 16105.6
0.337337 1375.1 16388.2
0.328281 1375.1 16670.7
0.300889 1375.1 16953.3
0.256628 1375.1 17235.8
0.279239 1375.1 17518.4
0.350279 1375.1 17800.9
0.311945 1375.1 18083.5
0.293397 1375.1 18366
0.283086 1375.1 18648.6
0.304321 1375.1 18931.2
0.347227 1375.1 19213.7
0.305444 1375.1 19496.3
0.26167 1375.1 19778.8
0.291531 1375.1 20061.4
0.333771 1375.1 20343.9
0.345508 1489.69 0
0.352401 1489.69 264.442
0.336822 1489.69 528.884
0.347793 1489.69 793.326
0.375034 1489.69 1057.77
0.35418 1489.69 1322.21
0.323032 1489.69 1586.65
0.328893 1489.69 1851.09
0.381949 1489.69 2115.54
0.379152 1489.69 2379.98
0.329663 1489.69 2644.42
0.328495 1489.69 2908.86
0.346372 1489.69 3173.3
0.368186 1489.69 3437.75
0.346904 1489.69 3702.19
0.355505 1489.69 3966.63
0.347466 1489.69 4231.07
0.339912 1489.69 4495.52
0.348496 1489.69 4759.96
0.389107 1489.69 5024.4
0.371395 1489.69 5288.84
0.329042 1489.69 5553.28
0.349055 1489.69 5817.73
0.376583 1489.69 6082.17
0.392069 1489.69 6346.61
0.35007 1489.69 6611.05
0.348891 1489.69 6875.49
0.370555 1489.69 7139.94
0.374407 1489.69 7404.38
0.361585 1489.69 7668.82
0.368947 1489.69 7933.26
0.375479 1489.69 8197.7
0.368839 1489.69 8462.15
0.367918 1489.69 8726.59
0.378265 1489.69 8991.03
0.383476 1489.69 9255.47
0.353944 1489.69 9519.91
0.36618 1489.69 9784.36
0.371451 1489.69 10048.8
0.37828 1489.69 10313.2
0.342735 1489.69 10577.7
0.360134 1489.69 10842.1
0.389036 1489.69 11106.6
0.374016 1489.69 11371
0.348532 1489.69 11635.5
0.347168 1489.69 11899.9
0.37368 1489.69 12164.3
0.379826 1489.69 12428.8
0.350305 1489.69 12693.2
0.351583 1489.69 12957.7
0.361672 1489.69 13222.1
0.347056 1489.69 13486.5
0.354931 1489.69 13751
0.371219 1489.69 14015.4
0.356741 1489.69 14279.9
0.325725 1489.69 14544.3
0.333311 1489.69 14808.8
0.386632 1489.69 15073.2
0.373017 1489.69 15337.6
0.328643 1489.69 15602.1
0.328902 1489.69 15866.5
0.346959 1489.69 16131
0.368708 1489.69 16395.4
0.339572 1489.69 16659.8
0.34809 1489.69 16924.3
0.344818 1489.69 17188.7
0.332619 1489.69 17453.2
0.344015 1489.69 17717.6
0.385434 1489.69 17982.1
0.36248 1489.69 18246.5
0.324895 1489.69 18510.9
0.338044 1489.69 18775.4
0.377403 1489.69 19039.8
0.390027 1489.69 19304.3
0.343411 1489.69 19568.7
0.339421 1489.69 19833.2
0.359957 1489.69 20097.6
0.371657 1489.69 20362
0.403966 1604.28 0
0.427462 1604.28 245.553
0.443163 1604.28 491.107
0.440823 1604.28 736.66
0.455153 1604.28 982.213
0.458651 1604.28 1227.77
0.45803 1604.28 1473.32
0.431377 1604.28 1718.87
0.431348 1604.28 1964.43
0.428617 1604.28 2209.98
0.389351 1604.28 2455.53
0.410948 1604.28 2701.09
0.415887 1604.28 2946.64
0.38119 1604.28 3192.19
0.416691 1604.28 3437.75
0.434855 1604.28 3683.3
0.395666 1604.28 3928.85
0.409275 1604.28 4174.41
0.434229 1604.28 4419.96
0.395308 1604.28 4665.51
0.403179 1604.28 4911.07
0.425241 1604.28 5156.62
0.407521 1604.28 5402.17
0.432204 1604.28 5647.73
0.44676 1604.28 5893.28
0.445672 1604.28 6138.83
0.455542 1604.28 6384.39
0.457343 1604.28 6629.94
0.456066 1604.28 6875.49
0.424971 1604.28 7121.05
0.426852 1604.28 7366.6
0.424728 1604.28 7612.15
